Lat,Lon,MAT,SpringT,SOS,ST
39.737,116.0129,6.73017062,13.98333333,161.5838889,1.838723928
39.746,116.0129,6.751137467,13.96728395,158.3277778,1.457225256
39.7549,116.0129,6.751137467,13.96728395,157.2616667,2.054311042
39.7639,116.0129,6.716583437,13.9191358,164.6373333,-2.728446732
39.7729,116.0129,6.731980857,13.99938272,163.06,-1.328974369
39.7819,116.0129,6.299660147,13.5117284,149.9541176,-11.13037033
39.7909,116.0129,6.534970176,13.80987654,131.1522222,-4.282528258
39.8178,116.0129,6.137779165,13.27037037,134.0477778,-3.791888459
39.8268,116.0129,5.409571369,12.45493827,122.3953846,-4.16613229
39.8987,116.0129,5.115550007,12.19074074,118.6983333,-3.981350061
39.9077,116.0129,4.624469413,11.62901235,118.0505882,-4.836836077
39.9256,116.0129,4.113046192,11.13395062,117.3616667,-3.418244195
39.9526,116.0129,4.344687197,11.75679012,113.8664706,-3.771018273
40.0424,116.0129,2.867374116,9.751234568,117.3211111,-3.848079481
40.0514,116.0129,2.65604106,9.675308642,119.4522222,-4.123246305
40.0694,116.0129,1.46830351,8.313580247,122.0188889,-4.949406083
40.0783,116.0129,1.092724372,8.387037037,113.6511111,-2.476857582
40.0873,116.0129,2.138535164,9.630864198,117.3177778,-4.725428733
40.0963,116.0129,2.939589402,10.34074074,116.5864706,-4.634269915
39.6651,116.0219,6.908787627,13.92962963,128.3472222,-2.888399677
39.6831,116.0219,6.803655153,14.01728395,128.1461111,-3.790318135
39.6921,116.0219,6.741212373,14.01728395,141.1505556,-4.344217001
39.701,116.0219,6.757317242,14.06419753,150.4905556,-1.197331661
39.719,116.0219,6.832688306,14.09938272,153.49,-2.360247036
39.728,116.0219,6.824691358,14.09320988,154.0383333,-3.354126866
39.737,116.0219,6.73017062,13.98333333,153.7522222,0.803867276
39.746,116.0219,6.786988487,13.96111111,156.5483333,-8.710247496
39.7549,116.0219,6.786988487,13.96111111,148.0911111,-11.25344651
39.7639,116.0219,6.716583437,13.9191358,159.6283333,-0.898495529
39.7729,116.0219,6.58688445,13.84320988,146.2055556,-4.784048705
39.7819,116.0219,6.708565682,14.00493827,152.6772222,-4.138999445
39.7999,116.0219,5.727091136,12.92901235,125.2822222,-4.935838733
39.8088,116.0219,6.479969483,13.63395062,124.4394444,-2.540337846
39.8178,116.0219,6.221743654,13.27901235,142.685,-0.363316338
